cleaned,vector
ramen shop changer positif manger bien insipide choix restreindre prix augmenter,"[0.5239587426185608, -0.03216535598039627, 0.10150948166847229, 0.25512266159057617, 0.18652255833148956, -0.625564455986023, 0.0801035687327385, -0.0725739598274231, -0.5360578894615173, 0.19814527034759521, 0.3048672676086426, -0.11586067825555801, -0.3805393576622009, -0.12319577485322952, 0.047008171677589417, 0.4315655827522278, -0.08882167935371399, 0.027470139786601067, -0.10981490463018417, 0.5735116004943848, 0.316169798374176, 0.4865342676639557, 0.4189833104610443, -0.4612412750720978, -0.24473248422145844, 0.3356132507324219, -0.07079823315143585, 0.015236061997711658, -0.043021347373723984, -0.17074567079544067, 0.014106901362538338, 0.2829618453979492, -0.028727348893880844, -0.12377648055553436, 0.014422332867980003, -0.05126989632844925, 0.08910103887319565, -0.011373423971235752, -0.030773987993597984, -0.025587303563952446, -0.22567349672317505, 0.04132446274161339, -0.18882660567760468, -0.13181540369987488, 0.17351073026657104, -0.185726135969162, 0.07569147646427155, -0.18888850510120392, -0.16173458099365234, 0.3110266327857971, 0.2166879028081894, 0.1603083312511444, 0.3156479597091675, 0.2580166161060333, 0.18048878014087677, 0.14560262858867645, 0.23451824486255646, -0.06669729202985764, -0.239141583442688, 0.2242402285337448, -0.07637249678373337, -0.0549217164516449, 0.10718124359846115, 0.024996422231197357]"
lent lent  minute riz blanc venir arriver serveur mettre éternité venir poser regarder,"[0.3923891484737396, 0.002587089315056801, 0.07776548713445663, 0.1913413554430008, 0.13792498409748077, -0.46369242668151855, 0.08202418684959412, -0.03656051307916641, -0.3933850824832916, 0.1388421207666397, 0.23885616660118103, -0.09266971796751022, -0.2958016097545624, -0.0891277864575386, 0.05590331554412842, 0.31365153193473816, -0.047934748232364655, 0.02234470285475254, -0.08137393742799759, 0.4311651289463043, 0.2518845200538635, 0.39407530426979065, 0.286433607339859, -0.32711654901504517, -0.1757691651582718, 0.2408549040555954, -0.030244702473282814, 0.02978273667395115, -0.004695781506597996, -0.12262813746929169, -0.011195770464837551, 0.2055356800556183, -0.005044043529778719, -0.0867372453212738, -0.014912404119968414, -0.038297563791275024, 0.0903879925608635, -0.0065346648916602135, -0.034850239753723145, -0.042226944118738174, -0.15356536209583282, 0.053005848079919815, -0.14939147233963013, -0.05884864181280136, 0.12415970116853714, -0.15277054905891418, 0.04614171013236046, -0.1315169483423233, -0.1053074300289154, 0.23285359144210815, 0.1720149666070938, 0.12232822924852371, 0.22965112328529358, 0.18976034224033356, 0.15114519000053406, 0.1034131869673729, 0.17787988483905792, -0.05468461290001869, -0.17815274000167847, 0.19576071202754974, -0.06282323598861694, -0.02681984007358551, 0.0945223867893219, 0.026738716289401054]"
vendeur souriant aimable unique vrai relever dreher  grâce offre choisir produit,"[0.6053650379180908, -0.03760525956749916, 0.09884785115718842, 0.31399571895599365, 0.19205178320407867, -0.7113645076751709, 0.11734309792518616, -0.06588622182607651, -0.5832872986793518, 0.22184140980243683, 0.3376637399196625, -0.12486046552658081, -0.41828683018684387, -0.15304788947105408, 0.060187309980392456, 0.47794613242149353, -0.0973152369260788, 0.056631021201610565, -0.13480931520462036, 0.6543309688568115, 0.36180415749549866, 0.5623518228530884, 0.4694538414478302, -0.5322933197021484, -0.28512516617774963, 0.3699493408203125, -0.06364860385656357, 0.01629016362130642, -0.05245780572295189, -0.2083522379398346, 0.02117142826318741, 0.32110920548439026, -0.011251309886574745, -0.1496628224849701, 0.008314891718327999, -0.0668966993689537, 0.11123087257146835, -0.009947936981916428, -0.004595692735165358, -0.05147642642259598, -0.2586357295513153, 0.04845797270536423, -0.22921623289585114, -0.12318823486566544, 0.20441500842571259, -0.22370031476020813, 0.08961406350135803, -0.19479350745677948, -0.16090621054172516, 0.3729255795478821, 0.254430890083313, 0.2020760476589203, 0.3553471863269806, 0.2863944172859192, 0.19816471636295319, 0.14893564581871033, 0.2547134459018707, -0.06698262691497803, -0.2664152681827545, 0.2534450590610504, -0.09512975066900253, -0.042487263679504395, 0.10692912340164185, 0.029858799651265144]"
restaurer riche n faim  rien assiette bien régime prix mettre porte monnaie,"[0.3622032701969147, -0.021562501788139343, 0.043180447071790695, 0.17692814767360687, 0.135566845536232, -0.41631051898002625, 0.028740568086504936, -0.03894525021314621, -0.3493620753288269, 0.14231938123703003, 0.19446365535259247, -0.07779824733734131, -0.23177574574947357, -0.0842563658952713, 0.03054906614124775, 0.2944636642932892, -0.06586857885122299, 0.007351381704211235, -0.0838591679930687, 0.39158663153648376, 0.21674177050590515, 0.3106885850429535, 0.2625258266925812, -0.3035709857940674, -0.1684146225452423, 0.23055176436901093, -0.03855988755822182, 0.007308504544198513, -0.04136921465396881, -0.10764923691749573, -0.004683468956500292, 0.18570242822170258, -0.018378935754299164, -0.08801602572202682, 0.014009025879204273, -0.0362824872136116, 0.05197994410991669, -0.011144602671265602, -0.013985907658934593, -0.0014226672938093543, -0.1471460610628128, 0.027019530534744263, -0.13656887412071228, -0.08412635326385498, 0.1298740804195404, -0.1455150842666626, 0.05551189184188843, -0.09720619022846222, -0.09943392872810364, 0.21877548098564148, 0.15239959955215454, 0.10335344821214676, 0.19680480659008026, 0.17035122215747833, 0.12339679896831512, 0.11418402940034866, 0.15634898841381073, -0.04178305342793465, -0.14946889877319336, 0.15188489854335785, -0.0422341451048851, -0.03461121395230293, 0.07369807362556458, 0.003451267257332802]"
restaurer touriste on service agréable addition saler long attente  revanche cuisine bon rien,"[0.2853069603443146, 0.02151847630739212, 0.010443533770740032, 0.1191604733467102, 0.09761298447847366, -0.35309749841690063, 0.04053588584065437, -0.05119719356298447, -0.2766166925430298, 0.13429786264896393, 0.17299139499664307, -0.07074524462223053, -0.20901255309581757, -0.07544250786304474, 0.03674650192260742, 0.264295369386673, -0.028811803087592125, 0.009724869392812252, -0.06494858860969543, 0.30898386240005493, 0.17520545423030853, 0.2684827446937561, 0.23751164972782135, -0.27169159054756165, -0.1430206000804901, 0.184693843126297, -0.03945869207382202, 0.032330479472875595, -0.017680039629340172, -0.11347272247076035, 0.018249843269586563, 0.17198486626148224, -0.01645725965499878, -0.07535571604967117, -0.001365874195471406, -0.02394133061170578, 0.05869920924305916, 0.01236053928732872, 0.007208626251667738, 0.000609562499448657, -0.1167905256152153, 0.035470083355903625, -0.09532812237739563, -0.07358948886394501, 0.09793533384799957, -0.12852199375629425, 0.05975396931171417, -0.11762245744466782, -0.10070469975471497, 0.15934763848781586, 0.11717542260885239, 0.06728875637054443, 0.1984097957611084, 0.1594768762588501, 0.10758794099092484, 0.06300728023052216, 0.1199905127286911, -0.017385970801115036, -0.13170774281024933, 0.13029912114143372, -0.04006264731287956, -0.03126395866274834, 0.03882056474685669, 0.02457878738641739]"
crêpe loin exceptionnel contre serveur super sympa cadre joli face cathédrale,"[0.25698959827423096, -0.018308423459529877, 0.048243794590234756, 0.1378811150789261, 0.09138607978820801, -0.30892908573150635, 0.030275097116827965, -0.026498591527342796, -0.2533850073814392, 0.11009436845779419, 0.16299383342266083, -0.054508060216903687, -0.16631020605564117, -0.05811351165175438, -0.002870183438062668, 0.2573276460170746, -0.026748718693852425, 0.0331428125500679, -0.07090648263692856, 0.2767941355705261, 0.15349717438220978, 0.24102316796779633, 0.19908183813095093, -0.24894779920578003, -0.12585954368114471, 0.16943800449371338, -0.04432597756385803, 0.0074725463055074215, -0.024194054305553436, -0.09261846542358398, -0.00839531421661377, 0.1576438844203949, -0.014278115704655647, -0.061790306121110916, 0.012781920842826366, -0.009384019300341606, 0.06199980154633522, -0.02799346297979355, 0.014255018904805183, -0.010239903815090656, -0.11405149102210999, 0.028304429724812508, -0.09556780010461807, -0.059367068111896515, 0.10298634320497513, -0.10594899952411652, 0.057295143604278564, -0.07301405072212219, -0.0920795127749443, 0.1650470644235611, 0.11371935904026031, 0.06535463780164719, 0.17742501199245453, 0.11118113994598389, 0.10545402020215988, 0.06869983673095703, 0.11700156331062317, -0.016801148653030396, -0.09602532535791397, 0.11957160383462906, -0.048022788017988205, -0.03506026789546013, 0.05978606641292572, 0.005794565659016371]"
faire moment vouloir tester brasserie   extérieur donne envie décoration sympa aimer concept table,"[0.26216840744018555, -0.013029051944613457, 0.025109466165304184, 0.1493874043226242, 0.0801244005560875, -0.2986125648021698, 0.055656228214502335, -0.03565969318151474, -0.23786239326000214, 0.10577823966741562, 0.13006754219532013, -0.062220681458711624, -0.1901964694261551, -0.06712121516466141, 0.014806070365011692, 0.20747627317905426, -0.037857785820961, 0.03169665485620499, -0.06211763247847557, 0.28945863246917725, 0.15224690735340118, 0.22438372671604156, 0.19509044289588928, -0.21727196872234344, -0.11103757470846176, 0.17920605838298798, -0.02801571413874626, -0.02293836884200573, -0.026677206158638, -0.07276001572608948, 0.002155309310182929, 0.15020711719989777, -0.0011386845726519823, -0.059915486723184586, 0.015212921425700188, -0.017022397369146347, 0.05952107533812523, -0.006109151057898998, -0.005980800837278366, -0.04270302504301071, -0.11268950998783112, 0.033691029995679855, -0.09302601963281631, -0.05182024836540222, 0.07129435986280441, -0.09135109931230545, 0.02808324806392193, -0.08651472628116608, -0.06503710150718689, 0.1410953253507614, 0.10903269052505493, 0.08494088798761368, 0.15174104273319244, 0.128615140914917, 0.08381055295467377, 0.06243527680635452, 0.10303495824337006, -0.04398851841688156, -0.12109751999378204, 0.11924666911363602, -0.048481591045856476, -0.04130923002958298, 0.04499158635735512, 0.002016691956669092]"
acidité  être aller midi chercher restaurant choucroute sympa être installer entrée plein passage cadre sympa,"[0.17012269794940948, -0.03638208284974098, 0.0228988379240036, 0.09825895726680756, 0.051845286041498184, -0.233375683426857, 0.020389696583151817, -0.032695867121219635, -0.16782167553901672, 0.07007864862680435, 0.1188281998038292, -0.059262942522764206, -0.13592734932899475, -0.03885212168097496, 0.014266508631408215, 0.1786070019006729, -0.029482470825314522, 0.03594879060983658, -0.042560428380966187, 0.2046370953321457, 0.1342279314994812, 0.19347938895225525, 0.1372092366218567, -0.1681545525789261, -0.08720165491104126, 0.14094491302967072, -0.03929409012198448, 0.011281222105026245, -0.005417841020971537, -0.0766248106956482, -0.0090384716168046, 0.10253163427114487, -0.027419256046414375, -0.03599231690168381, 0.017824513837695122, -0.022235196083784103, 0.038442570716142654, -0.013072749599814415, 0.015220800414681435, -0.0040877205319702625, -0.05879811942577362, 0.005130237899720669, -0.05596195533871651, -0.0421113483607769, 0.08267772197723389, -0.07163585722446442, 0.024544203653931618, -0.05389978364109993, -0.06368333846330643, 0.0970555767416954, 0.09420634061098099, 0.05780051276087761, 0.12457975745201111, 0.07966627180576324, 0.07417284697294235, 0.06827981770038605, 0.0663880854845047, -0.008272355422377586, -0.0861814096570015, 0.08121711015701294, -0.04047349840402603, -0.008735692128539085, 0.0308615081012249, 0.005470899865031242]"
service moyen   minute recevoir carte avoir terriblement faim choucroute garnir attendre,"[0.37645652890205383, 0.01565476879477501, 0.06373803317546844, 0.19088363647460938, 0.12220029532909393, -0.456420361995697, 0.07495957612991333, -0.07257876545190811, -0.3872983455657959, 0.14074039459228516, 0.22112447023391724, -0.077935129404068, -0.26372861862182617, -0.10368669778108597, 0.04268926754593849, 0.32630884647369385, -0.07042840868234634, 0.02123701199889183, -0.09494248032569885, 0.40951764583587646, 0.21840022504329681, 0.37790319323539734, 0.3087054193019867, -0.3299679160118103, -0.1686556041240692, 0.2467232495546341, -0.041609082370996475, 0.006533456966280937, -0.014681451953947544, -0.14786097407341003, 0.010866403579711914, 0.21051771938800812, -0.022699693217873573, -0.09695299714803696, -0.005571057554334402, -0.06102544441819191, 0.07289855927228928, -0.009006711654365063, -0.021702487021684647, -0.03688722848892212, -0.16160307824611664, 0.04634267836809158, -0.13796007633209229, -0.09505479782819748, 0.1332760900259018, -0.14744894206523895, 0.04920988157391548, -0.11711475253105164, -0.1042744591832161, 0.2521383762359619, 0.14493019878864288, 0.12814287841320038, 0.23078423738479614, 0.1736029088497162, 0.12614376842975616, 0.10680367052555084, 0.15797336399555206, -0.031041353940963745, -0.18279340863227844, 0.17782898247241974, -0.061613887548446655, -0.035956136882305145, 0.07451168447732925, 0.02394268661737442]"
superbe ambiance beau cadre dommage service hauteur dommage  vraiment décevoir,"[0.12184654176235199, -0.012628654949367046, 0.016467293724417686, 0.06605085730552673, 0.03885428607463837, -0.15603792667388916, 0.014010556042194366, -0.0180889330804348, -0.11251342296600342, 0.04917815700173378, 0.09046674519777298, -0.020331691950559616, -0.09181665629148483, -0.03721575066447258, -0.003199986182153225, 0.14679639041423798, -0.04395577311515808, 0.008496885187923908, -0.03184453770518303, 0.14541025459766388, 0.06564714014530182, 0.13031965494155884, 0.11795443296432495, -0.10749269276857376, -0.058100953698158264, 0.08760280907154083, -0.03258249908685684, 0.017277196049690247, -0.010963651351630688, -0.030560284852981567, 0.002863178262487054, 0.07080940902233124, -0.00872180424630642, -0.018803663551807404, 0.008314695209264755, -0.01352773979306221, 0.03799867257475853, -0.016353633254766464, 0.00404350645840168, 0.002019822597503662, -0.06881637126207352, 0.02145298942923546, -0.05180229991674423, -0.03360143303871155, 0.03317029029130936, -0.05866551399230957, 0.01635805517435074, -0.04442295804619789, -0.06616128236055374, 0.07964994013309479, 0.06555734574794769, 0.030968109145760536, 0.08904401957988739, 0.05851059406995773, 0.059094689786434174, 0.03993430733680725, 0.0679439902305603, 0.0005374012980610132, -0.07193809002637863, 0.07563760131597519, -0.012024511583149433, -0.0074949078261852264, 0.00817685853689909, 0.0027159794699400663]"
brunch  brunch difficile trouver prix plat temps vide choix faim dommage,"[0.19942060112953186, -0.004358510486781597, 0.028073234483599663, 0.08280137181282043, 0.0698155015707016, -0.2523213028907776, 0.05079124867916107, -0.03474029526114464, -0.20598921179771423, 0.056683652102947235, 0.1328016221523285, -0.06529883295297623, -0.13976354897022247, -0.04848093166947365, 0.007658330257982016, 0.1671554446220398, -0.06209559738636017, 0.008332563564181328, -0.0557653084397316, 0.22409674525260925, 0.11205454915761948, 0.1982090026140213, 0.1702938675880432, -0.1739315688610077, -0.0800740122795105, 0.1279056817293167, -0.02443636953830719, 0.013672875240445137, -0.023741960525512695, -0.08440551161766052, 0.00844535045325756, 0.09876678138971329, -0.010559143498539925, -0.05300635099411011, -0.009869599714875221, -0.01567838340997696, 0.0337667241692543, -0.006637131329625845, -0.013752317056059837, -0.012734981253743172, -0.08952193707227707, 0.031352538615465164, -0.05941088870167732, -0.0666889175772667, 0.07639257609844208, -0.06717295944690704, 0.032462961971759796, -0.06476494669914246, -0.07100733369588852, 0.14754918217658997, 0.09774008393287659, 0.047546688467264175, 0.12227373570203781, 0.08355964720249176, 0.07132577896118164, 0.04212501272559166, 0.09561296552419662, -0.00519826402887702, -0.10075797885656357, 0.0967494547367096, -0.020488077774643898, -0.028607552871108055, 0.032207831740379333, 0.005911717656999826]"
service accueillir donne envie rester dinner ambiance lourd,"[0.303594708442688, -0.02031022123992443, 0.05730924382805824, 0.1520874798297882, 0.11058253794908524, -0.37566831707954407, 0.06502731889486313, -0.03933016583323479, -0.2981405258178711, 0.12239087373018265, 0.17690637707710266, -0.06305868923664093, -0.23754291236400604, -0.06990203261375427, 0.03521600738167763, 0.26744142174720764, -0.04403957724571228, 0.022167613729834557, -0.07287602126598358, 0.33624064922332764, 0.17817246913909912, 0.299046128988266, 0.24184000492095947, -0.26619794964790344, -0.14048601686954498, 0.19177837669849396, -0.04238751158118248, 0.006713502574712038, -0.025288593024015427, -0.11173449456691742, 0.000630708469543606, 0.18472953140735626, -0.014964201487600803, -0.07923238724470139, 0.004839340690523386, -0.013510736636817455, 0.05487454682588577, -0.0015804242575541139, -0.014654489234089851, -0.019948357716202736, -0.14051729440689087, 0.034102775156497955, -0.11111731082201004, -0.06530517339706421, 0.10071080178022385, -0.11768709123134613, 0.0587618350982666, -0.08778286725282669, -0.09389519691467285, 0.17778310179710388, 0.13688205182552338, 0.10552240908145905, 0.17590342462062836, 0.1439201384782791, 0.10296190530061722, 0.0775342583656311, 0.1337050199508667, -0.024663466960191727, -0.142304927110672, 0.14142437279224396, -0.05569881573319435, -0.03254317492246628, 0.05220434069633484, 0.019566349685192108]"
serveur sympa prix élevé petit repas contre bon localisation,"[0.07833172380924225, -0.009266381151974201, 0.014738394878804684, 0.022457821294665337, 0.022747980430722237, -0.07745369523763657, -0.002115646144375205, 0.00177502422593534, -0.058617573231458664, 0.032398439943790436, 0.020270708948373795, -0.0320311076939106, -0.061836548149585724, -0.005784264300018549, -0.01768486760556698, 0.050970498472452164, -0.004803983960300684, 0.025009499862790108, -0.02028423734009266, 0.07553207129240036, 0.03293565660715103, 0.07015838474035263, 0.05747910216450691, -0.06265706568956375, -0.018119869753718376, 0.041329797357320786, -0.018109260126948357, 0.009585835970938206, -0.006773694884032011, -0.03103911504149437, 0.0009184993687085807, 0.05094361677765846, -0.014821534976363182, -0.017389776185154915, -0.0026841049548238516, -0.009028405882418156, 0.016558440402150154, -0.0010027785319834948, -0.0008886597934179008, 0.01595805585384369, -0.012617332860827446, 0.005422896705567837, -0.0027168523520231247, -0.01696561835706234, 0.021607857197523117, -0.026452381163835526, 0.008120021782815456, -0.018709290772676468, -0.03880221024155617, 0.052419696003198624, 0.036913350224494934, 0.026968451216816902, 0.0387757308781147, 0.05440415441989899, 0.016251584514975548, 0.023350914940238, 0.02770751528441906, 0.004765728488564491, -0.020500672981142998, 0.032722752541303635, -0.009736737236380577, -0.0246528759598732, -0.000283343339106068, 0.013056177645921707]"
plat mauvais expérience gâcher accueil personnel déplorable froid  bonjour,"[0.12776300311088562, 0.010603501461446285, 0.027637075632810593, 0.06938763707876205, 0.032704148441553116, -0.14106926321983337, 0.033838264644145966, -0.012710337527096272, -0.123318150639534, 0.05578368902206421, 0.061187975108623505, -0.009473244659602642, -0.07430904358625412, -0.02573753520846367, 0.0028193139005452394, 0.10492100566625595, -0.02958841435611248, 0.021795274689793587, -0.02939419634640217, 0.1375608593225479, 0.06441322714090347, 0.12639646232128143, 0.089486263692379, -0.09573978930711746, -0.03443838655948639, 0.0666176974773407, -0.00183897465467453, 0.016050880774855614, 0.005434313789010048, -0.03142179921269417, 0.004429729655385017, 0.06675855815410614, 0.006348369177430868, -0.038304418325424194, -0.007321782410144806, 0.004952835384756327, 0.011648701503872871, 0.015864238142967224, 0.004140603821724653, -0.004703586921095848, -0.06705915182828903, 0.029877418652176857, -0.047668904066085815, -0.03670845925807953, 0.03851182758808136, -0.04097646847367287, 0.023652158677577972, -0.04631882905960083, -0.04486054554581642, 0.05972365662455559, 0.05250824987888336, 0.023416535928845406, 0.08086603879928589, 0.05521682649850845, 0.050954774022102356, 0.013681557029485703, 0.05110862851142883, -0.02185225673019886, -0.037248723208904266, 0.032796937972307205, -0.011817380785942078, -0.01079293992370367, 0.010249116457998753, 0.02054397389292717]"
platement mettre quitter lieu établissement éviter,"[0.2144763469696045, -0.007830954156816006, 0.04188922792673111, 0.12891042232513428, 0.07523582130670547, -0.26660382747650146, 0.03173108026385307, -0.026747185736894608, -0.21070578694343567, 0.08967673778533936, 0.12071234732866287, -0.048166826367378235, -0.14578339457511902, -0.04288916662335396, 0.011931048706173897, 0.18345890939235687, -0.03270243480801582, 0.018801214173436165, -0.043328624218702316, 0.23916590213775635, 0.1268216222524643, 0.19853819906711578, 0.16904236376285553, -0.18559283018112183, -0.09937451779842377, 0.13965032994747162, -0.023351693525910378, 0.010624989867210388, -0.03744616359472275, -0.08398685604333878, -0.0031171469017863274, 0.13249291479587555, -0.005145663395524025, -0.051264069974422455, 0.003703383030369878, -0.018797125667333603, 0.028535690158605576, -0.014891295693814754, -0.020225070416927338, -0.030887186527252197, -0.1126045435667038, 0.016580164432525635, -0.0713258758187294, -0.04008165001869202, 0.07475267350673676, -0.08375886082649231, 0.03634665533900261, -0.058787666261196136, -0.06396964937448502, 0.13457049429416656, 0.09734249114990234, 0.06064803898334503, 0.1337447315454483, 0.10639045387506485, 0.06887920945882797, 0.04582470282912254, 0.09321156144142151, -0.025480827316641808, -0.11649365723133087, 0.10382132977247238, -0.034644901752471924, -0.018513383343815804, 0.04747869074344635, 0.004491985775530338]"
lieu plein promesse réalisation décevant  salade gambas noyer sauce plat goût attente,"[0.3415153920650482, 0.00015848345356062055, 0.05286017805337906, 0.1482328325510025, 0.11682264506816864, -0.3918725550174713, 0.053743284195661545, -0.05881592631340027, -0.30871808528900146, 0.12109113484621048, 0.182397723197937, -0.06523092836141586, -0.23562686145305634, -0.059973303228616714, 0.04647402465343475, 0.29431861639022827, -0.0647951290011406, 0.02934768795967102, -0.07826374471187592, 0.35852545499801636, 0.19991029798984528, 0.3226887881755829, 0.2766485810279846, -0.31219369173049927, -0.15904076397418976, 0.22506903111934662, -0.05444113537669182, 0.024212419986724854, -0.02050188183784485, -0.12348827719688416, 0.004677382297813892, 0.1934015452861786, -0.010398810729384422, -0.08123810589313507, 0.010327237658202648, -0.04512597993016243, 0.058766696602106094, 0.0009566326043568552, -0.008379258215427399, -0.01992838829755783, -0.16295650601387024, 0.03578214719891548, -0.13260619342327118, -0.0559321865439415, 0.11710602045059204, -0.1332797110080719, 0.028369499370455742, -0.11446326971054077, -0.10812664031982422, 0.1928890496492386, 0.1375802606344223, 0.10342466086149216, 0.19801735877990723, 0.169000506401062, 0.09365352988243103, 0.08274730294942856, 0.130318745970726, -0.03716307133436203, -0.14467310905456543, 0.15117774903774261, -0.06364112347364426, -0.026734892278909683, 0.05628519505262375, 0.006811301223933697]"
nourriture boisson mauvais service qualité énormément variable service catastrophique somme dépasser  chiffre,"[0.5621982216835022, -0.023147577419877052, 0.09188566356897354, 0.2798455059528351, 0.17936009168624878, -0.667473554611206, 0.10822568088769913, -0.07033226639032364, -0.5417985320091248, 0.2139255702495575, 0.317181795835495, -0.10558422654867172, -0.3985002636909485, -0.1472601294517517, 0.0414578914642334, 0.45347967743873596, -0.08847787231206894, 0.04958377033472061, -0.13822267949581146, 0.6015754342079163, 0.3288533687591553, 0.5221428275108337, 0.44514980912208557, -0.47388553619384766, -0.2487604022026062, 0.3481227457523346, -0.061270952224731445, 0.010753670707345009, -0.02500174753367901, -0.20500753819942474, 0.023527052253484726, 0.30898571014404297, -0.03249266743659973, -0.12797118723392487, 0.012487750500440598, -0.0739615261554718, 0.1079346239566803, 0.0006329294992610812, 0.0018782662227749825, -0.023233933374285698, -0.2621590793132782, 0.06707199662923813, -0.19355584681034088, -0.12563036382198334, 0.189932182431221, -0.19495335221290588, 0.07902640104293823, -0.18207219243049622, -0.1772705316543579, 0.3388747572898865, 0.2202056497335434, 0.1555851846933365, 0.3549655079841614, 0.2692996561527252, 0.18865899741649628, 0.14751827716827393, 0.24883325397968292, -0.06993288546800613, -0.23292839527130127, 0.23615506291389465, -0.08656341582536697, -0.0639924556016922, 0.09288354963064194, 0.039293039590120316]"
programmation décevant cinéma art essai  cinéma mal tenir programmation répétitif film grand public trop accueil,"[0.7024246454238892, -0.01613677106797695, 0.13555867969989777, 0.32175856828689575, 0.22241924703121185, -0.8057485222816467, 0.12363997101783752, -0.07519745826721191, -0.688702404499054, 0.24530868232250214, 0.4017605185508728, -0.1405150443315506, -0.4843737483024597, -0.13930611312389374, 0.06847568601369858, 0.5685048699378967, -0.11299998313188553, 0.05944709852337837, -0.16450048983097076, 0.7491306066513062, 0.4422958791255951, 0.6386999487876892, 0.5409963130950928, -0.6169432997703552, -0.30186957120895386, 0.44804647564888, -0.08414816856384277, 0.02927679754793644, -0.06264984607696533, -0.24232690036296844, 0.021729912608861923, 0.387479692697525, -0.016769016161561012, -0.16011622548103333, 0.038484252989292145, -0.06812490522861481, 0.13336290419101715, 0.011501765809953213, -0.010179665870964527, -0.05963432043790817, -0.31387844681739807, 0.0634685605764389, -0.27315542101860046, -0.1432107836008072, 0.22335045039653778, -0.24177725613117218, 0.09887051582336426, -0.22323639690876007, -0.21438392996788025, 0.40987104177474976, 0.27854540944099426, 0.2291753888130188, 0.409121572971344, 0.32081493735313416, 0.22000297904014587, 0.1867792159318924, 0.29007992148399353, -0.09377007931470871, -0.29493388533592224, 0.28294795751571655, -0.10558465868234634, -0.0733940377831459, 0.1015438362956047, 0.05947728082537651]"
décor authentique nourriture malheureusement hauteur menu déjeuner . euro cher consiste buffet salad,"[0.4938805401325226, -0.03770695626735687, 0.07052281498908997, 0.2542421817779541, 0.16851919889450073, -0.5760847926139832, 0.10291294008493423, -0.05317715182900429, -0.47747382521629333, 0.18275991082191467, 0.2749122083187103, -0.11631445586681366, -0.3568364679813385, -0.1113961935043335, 0.024021994322538376, 0.4150882363319397, -0.0888756737112999, 0.027669483795762062, -0.13352711498737335, 0.5464558005332947, 0.31225889921188354, 0.48304125666618347, 0.4195114076137543, -0.4232451617717743, -0.22645272314548492, 0.2915226221084595, -0.052431363612413406, -0.005107153672724962, -0.040579747408628464, -0.18973717093467712, 0.019963225349783897, 0.27814149856567383, -0.02813267521560192, -0.10820680111646652, 0.0004043614608235657, -0.047198325395584106, 0.1071198582649231, -0.013065462000668049, -0.017828159034252167, -0.03893521428108215, -0.2313636988401413, 0.04323172569274902, -0.18075069785118103, -0.10398069769144058, 0.1495196372270584, -0.18924464285373688, 0.08106262981891632, -0.14900052547454834, -0.1423969864845276, 0.30583131313323975, 0.21760249137878418, 0.15518219769001007, 0.32730013132095337, 0.2475540190935135, 0.1676483452320099, 0.15989939868450165, 0.20981507003307343, -0.056339606642723083, -0.22687947750091553, 0.20631520450115204, -0.07123401761054993, -0.06361372768878937, 0.09772060066461563, 0.010669234208762646]"
faire cantine bon défaut place ailleurs  froid revenir jour canicule,"[0.30571284890174866, -0.013302072882652283, 0.04996411129832268, 0.17042779922485352, 0.12051523476839066, -0.36563774943351746, 0.06548325717449188, -0.025805065408349037, -0.29952970147132874, 0.12337657809257507, 0.1665564328432083, -0.0731566771864891, -0.22044673562049866, -0.08676963299512863, 0.023406414315104485, 0.2503545582294464, -0.050226274877786636, 0.017302578315138817, -0.0681024044752121, 0.3299550414085388, 0.18101638555526733, 0.28478601574897766, 0.22694389522075653, -0.2745060324668884, -0.16030211746692657, 0.20584049820899963, -0.025383075699210167, 0.009002136997878551, -0.030528249219059944, -0.10843685269355774, 0.002682998776435852, 0.1505291610956192, -0.0009231010917574167, -0.07019653171300888, 0.007076248060911894, -0.027987051755189896, 0.049233365803956985, -0.006731811910867691, 0.0013031435664743185, -0.024297911673784256, -0.13766901195049286, 0.024249328300356865, -0.12001647800207138, -0.06507723033428192, 0.11222276091575623, -0.11583917587995529, 0.03729933500289917, -0.10845192521810532, -0.08103293925523758, 0.19155319035053253, 0.13777047395706177, 0.09754036366939545, 0.18803587555885315, 0.13810589909553528, 0.10860545188188553, 0.0852227658033371, 0.14029735326766968, -0.052449263632297516, -0.14431585371494293, 0.1195945292711258, -0.0409991554915905, -0.022436466068029404, 0.06992249190807343, 0.0075772288255393505]"
